Rank,Player,team,age
1,"Jokic, Nikola",DEN,27
2,"Embiid, Joel",PHI,28
3,"Gilgeous-Alexander, Shai",OKC,24
4,"Davis, Anthony",LAL,29
5,"Durant, Kevin",PHO,34
6,"Curry, Stephen",GSW,34
7,"Lillard, Damian",POR,32
8,"Irving, Kyrie",DAL,30
9,"Haliburton, Tyrese",IND,22
10,"Tatum, Jayson",BOS,24
11,"Butler, Jimmy",MIA,33
12,"Jackson, Jaren",MEM,23
13,"Leonard, Kawhi",LAC,31
14,"Porzingis, Kristaps",WAS,27
15,"Mitchell, Donovan",CLE,26
Rank,Player,team,age
16,"Doncic, Luka",DAL,23
17,"Harden, James",PHI,33
18,"Markkanen, Lauri",UTA,25
19,"Vanvleet, Fred",TOR,28
20,"Turner, Myles",IND,26
21,"Lopez, Brook",MIL,34
22,"Sabonis, Domantas",SAC,26
23,"James, LeBron",LAL,38
24,"Claxton, Nicolas",BKN,23
25,"Vucevic, Nikola",CHI,32
26,"George, Paul",LAC,32
27,"DeRozan, DeMar",CHI,33
28,"Booker, Devin",PHO,26
29,"Towns, Karl-Anthony",MIN,27
30,"Bridges, Mikal",BKN,26
Rank,Player,team,age
31,"Anunoby, O.G.",TOR,25
32,"Ball, LaMelo",CHA,21
33,"Paul, Chris",PHO,37
34,"Adebayo, Bam",MIA,25
35,"Allen, Jarrett",CLE,24
36,"Bane, Desmond",MEM,24
37,"Mays, Skylar",POR,25
38,"Murray, Dejounte",ATL,26
39,"Holiday, Jrue",MIL,32
40,"Gilyard, Jacob",MEM,24
41,"Capela, Clint",ATL,28
42,"Fox, De'Aaron",SAC,25
43,"Edwards, Anthony",MIN,21
44,"Brunson, Jalen",NYK,26
45,"Siakam, Pascal",TOR,28
Rank,Player,team,age
46,"Murphy, Trey",NOR,22
47,"LaVine, Zach",CHI,27
48,"Garland, Darius",CLE,22
49,"Brown, Jaylen",BOS,26
50,"Hield, Buddy",IND,29
51,"Young, Trae",ATL,24
52,"Mobley, Evan",CLE,21
53,"Robinson, Mitchell",NYK,24
54,"Harrison, Shaquille",POR,29
55,"Ayton, Deandre",PHO,24
56,"Beal, Bradley",WAS,29
57,"Kessler, Walker",UTA,21
58,"Johnson, Cameron",BKN,26
59,"Gobert, Rudy",MIN,30
60,"Ingram, Brandon",NOR,25
Rank,Player,team,age
61,"Harris, Tobias",PHI,30
62,"Murray, Jamal",DEN,25
63,"Horford, Al",BOS,36
64,"Thompson, Klay",GSW,32
65,"Wiggins, Andrew",GSW,27
66,"Williams, Robert",BOS,25
67,"Randle, Julius",NYK,28
68,"Grant, Jerami",POR,28
69,"King, Louis",PHI,23
70,"Gray, RaiQuan",BKN,23
71,"Williamson, Zion",NOR,22
72,"Okongwu, Onyeka",ATL,22
73,"Poeltl, Jakob",TOR,27
74,"Dunn, Kris",UTA,28
75,"Wright, Delon",WAS,30
Rank,Player,team,age
76,"Herro, Tyler",MIA,22
77,"Maxey, Tyrese",PHI,22
78,"Williams, Jalen",OKC,21
79,"Anderson, Kyle",MIN,29
80,"Porter, Michael",DEN,24
81,"Trent, Gary",TOR,23
82,"Vassell, Devin",SAS,22
83,"Russell, D'Angelo",LAL,26
84,"Melton, De'Anthony",PHI,24
85,"Sengun, Alperen",HOU,20
86,"Barnes, Scottie",TOR,21
87,"White, Derrick",BOS,28
88,"Wood, Christian",DAL,27
89,"McCollum, CJ",NOR,31
90,"Porter, Kevin",HOU,22
Rank,Player,team,age
91,"Huerter, Kevin",SAC,24
92,"Hart, Josh",NYK,27
93,"Dinwiddie, Spencer",BKN,29
94,"Conley, Mike",MIN,35
95,"Morant, Ja",MEM,23
96,"Fultz, Markelle",ORL,24
97,"Simons, Anfernee",POR,23
98,"Washington, PJ",CHA,24
99,"Rozier, Terry",CHA,28
100,"Jones, Tre",SAS,22
101,"Green, Draymond",GSW,32
102,"Oubre, Kelly",CHA,27
103,"Caldwell-Pope, Kentavious",DEN,29
104,"Collins, John",ATL,25
105,"Carter, Wendell",ORL,24
Rank,Player,team,age
106,"Brogdon, Malcolm",BOS,30
107,"Bogdanovic, Bojan",DET,33
108,"Giddey, Josh",OKC,20
109,"Zubac, Ivica",LAC,25
110,"Antetokounmpo, Giannis",MIL,28
111,"Olynyk, Kelly",UTA,31
112,"Wagner, Franz",ORL,21
113,"Quickley, Immanuel",NYK,23
114,"Jones, Herb",NOR,24
115,"Lowry, Kyle",MIA,36
116,"Murray, Keegan",SAC,22
